Name,Address,Latitude,Longitude,Notes,Group,Use HTML,Button Link,Tags
150 California (Marketing),"150 California St, San Francisco, CA",,,"On market — Marketing as of Aug-26 | ±208,000 SF | 87% leased | Cap: Mid-7% / Mid-8% sROC | PSF: Low-$600s | Price: $120M-$130M | Buyer: TBD | Seller: Morgan Stanley",Active,,,"Sale Comp, On Market, Marketing, Core+"
221 Main (Bidding),"221 Main St, San Francisco, CA",,,"On market — Bidding as of Aug-26 | ±384,000 SF | 99% leased | Cap: Mid-7% | PSF: Mid-$600s | Price: Mid-$200M | Buyer: TBD | Seller: PIMCO / Allianz",Active,,,"Sale Comp, On Market, Bidding, Core+"
655 Montgomery (Marketing),"655 Montgomery St, San Francisco, CA",,,"On market — Marketing as of Aug-26 | ±270,000 SF | 88% leased | Cap: ±8% | PSF: ±$530 | Price: ±$145M | Buyer: TBD | Seller: Beacon / CalSTRS",Active,,,"Sale Comp, On Market, Marketing, Core+"
303 Second (Awarded),"303 2nd St, San Francisco, CA",,,"On market — Awarded as of Aug-26 | ±785,000 SF | ±65% leased | Cap: ±10% | PSF: Mid-$400s | Price: Mid-$300M | Buyer: Confidential | Seller: Kilroy / Norges",Active,,,"Sale Comp, On Market, Awarded, Value-Add"
550 Kearny (Awarded),"550 Kearny St, San Francisco, CA",,,"On market — Awarded as of Aug-26 | 196,438 SF | ±0% leased | PSF: ±$355 | Price: ±$70M | Buyer: TBD | Seller: Kairos",Active,,,"Sale Comp, On Market, Awarded, Value-Add"
330 & 340 Townsend (Awarded),"330 Townsend St, San Francisco, CA",,,"On market — Awarded as of Aug-26 | 109,261 SF | ±100% leased | Cap: 5.5% | PSF: ±$355 | Price: ±$40M | Buyer: TBD | Seller: CIM",Active,,,"Sale Comp, On Market, Awarded, Value-Add"
455 Market (Bidding),"455 Market St, San Francisco, CA",,,"On market — Bidding as of Aug-26 | 374,200 SF | ±65% leased | Cap: Mid-7% | PSF: High-$300s | Price: ±$140M | Buyer: TBD | Seller: UBS",Active,,,"Sale Comp, On Market, Bidding, Value-Add"
55 Hawthorne (Awarded),"55 Hawthorne St, San Francisco, CA",,,"On market — Awarded as of Aug-26 | 145,186 SF | 0% leased | PSF: ±$400 | Price: ±$58M | Buyer: TBD | Seller: LNR (SS) / CIM (Borrower)",Active,,,"Sale Comp, On Market, Awarded, Value-Add"
55 Second (Awarded),"55 2nd St, San Francisco, CA",,,"On market — Awarded as of Aug-26 | 381,701 SF | ±15% leased | PSF: ±$400 | Price: ±$155M | Buyer: Flynn / Ellis | Seller: Empower / Canada Life (Lender)",Active,,,"Sale Comp, On Market, Awarded, Value-Add"
300 Kansas (Awarded),"300 Kansas St, San Francisco, CA",,,"On market — Awarded as of Aug-26 | 151,177 SF | 0% leased | PSF: ±$425 | Price: ±$65M | Buyer: Sabal (tenant — bought direct as owner-user) | Seller: Spear Street / Stockbridge",Active,,,"Sale Comp, On Market, Awarded, Value-Add, Owner-User Buyer"
417 Montgomery (Awarded),"417 Montgomery St, San Francisco, CA",,,"On market — Awarded as of Aug-26 | 96,078 SF | 27% leased | PSF: ±$260 | Price: ±$25M | Buyer: TBD | Seller: Private HNWI",Active,,,"Sale Comp, On Market, Awarded, Value-Add"
747 Front (Awarded),"747 Front St, San Francisco, CA",,,"On market — Awarded as of Aug-26 | 81,415 SF | 75% leased | PSF: ±$400 | Price: ±$32.5M | Buyer: Confidential | Seller: Ares (Lender) / Bridgeton",Active,,,"Sale Comp, On Market, Awarded, Value-Add"
