Name,Address,Latitude,Longitude,Notes,Group,Use HTML,Button Link,Tags
City Of San Francisco — 1455 Market St (Signed 5/22/26),"1455 Market St, San Francisco, CA",,,"Signed 5/22/26 | #1 largest YTD | 502,082 SF | Floors: 2,4,6,18,22 | Term: 22 yrs, 4 mos | Type: Direct | Yr-1 rent: $68 | Esc: 3% | Expansion",Direct,,,"Lease Comp, City Of San Francisco, Direct, Q2 2026, Expansion"
Anthropic — 300 Howard St (Signed 1/30/26),"300 Howard St, San Francisco, CA",,,"Signed 1/30/26 | #2 largest YTD | 483,844 SF | Floors: 1-25 | Term: 12 yrs | Type: Direct | Yr-1 rent: $84 | Esc: 3% | Free rent: 15 mos | TI: $200/RSF | Expansion",Direct,,,"Lease Comp, Anthropic, Direct, Q1 2026, Expansion"
E-Commerce Company — 525 Market St (Date confi),"525 Market St, San Francisco, CA",,,Sign date confidential (YTD 2026) | #3 largest YTD | Confi | Expansion & Renewal,Undisclosed,,,"Lease Comp, 2026 (undated), E-Commerce Company, Undisclosed, Expansion & Renewal"
OpenAI — 1800 Owens St (Signed 2/1/26),"1800 Owens St, San Francisco, CA",,,"Signed 2/1/26 | #4 largest YTD | 282,124 SF | Floors: 1-8 | Term: 11 yrs | Type: Direct | Yr-1 rent: $34.00 (FSE) | Esc: 3% | Free rent: 0 mos | Expansion",Direct,,,"Lease Comp, OpenAI, Direct, Q1 2026, Expansion"
Anthropic — 500 Howard St (Signed 4/9/26),"500 Howard St, San Francisco, CA",,,"Signed 4/9/26 | #5 largest YTD | 249,646 SF | Floors: 1-10 | Term: 10 yrs, 6 mos | Type: Direct | Yr-1 rent: $85 | Esc: 3% | Free rent: 12 mos | TI: $125/RSF | New Lease",Direct,,,"Lease Comp, Anthropic, Direct, Q2 2026, New Lease"
OpenAI — 1800 Owens St (Signed 3/1/26),"1800 Owens St, San Francisco, CA",,,"Signed 3/1/26 | #6 largest YTD | 235,000 SF | Floors: 4-6 | Term: 3 yrs, 2 mos | Type: Sublease | Yr-1 rent: Confi | Esc: Confi | Free rent: Confi | TI: Confi",Sublease,,,"Lease Comp, OpenAI, Sublease, Q1 2026"
Brex — 270 Brannan St (Signed 6/1/26),"270 Brannan St, San Francisco, CA",,,"Signed 6/1/26 | #7 largest YTD | 198,040 SF | Floors: Garage and 1-7 | Term: 5 yrs | Type: Direct | Yr-1 rent: $75 | Esc: 3% | Free rent: 14 mos | TI: $40.16/RSF | Blend and Extend",Direct,,,"Lease Comp, Brex, Direct, Q2 2026, Blend and Extend"
PriceWaterhouseCoopers (PWC) — 405 Howard St (Signed 4/30/26),"405 Howard St, San Francisco, CA",,,"Signed 4/30/26 | #8 largest YTD | 195,677 SF | Floors: 4-6 | Term: 7 yrs, 6 mos | Type: Direct | Yr-1 rent: $92 | Esc: 3% | Free rent: 6 mos | TI: $113.12/RSF | Renewal",Direct,,,"Lease Comp, PriceWaterhouseCoopers (PWC), Direct, Q2 2026, Renewal"
Cognition — 333 Brannan St (Signed 8/30/26),"333 Brannan St, San Francisco, CA",,,"Signed 8/30/26 | #9 largest YTD | 185,000 SF | Floors: Terr, 1-5 | Term: 5 yrs | Type: Sublease | Yr-1 rent: $66 | Esc: 3% | Free rent: 14 mos @ 50% | TI: $0/RSF | Relocation",Sublease,,,"Lease Comp, Cognition, Sublease, Q3 2026, Relocation"
TogetherAI — 2 Henry Adams St (Signed 5/27/26),"2 Henry Adams St, San Francisco, CA",,,"Signed 5/27/26 | #10 largest YTD | 153,311 SF | Floors: 4,5 | Term: 6 yrs | Type: Direct | Yr-1 rent: $69 | Esc: 3% | Free rent: 10 mos | Relocation",Direct,,,"Lease Comp, TogetherAI, Direct, Q2 2026, Relocation"
Airbnb — 850 Brannan St (Signed 8/15/26),"850 Brannan St, San Francisco, CA",,,"Signed 8/15/26 | #11 largest YTD | 150,000 SF | Floors: 3-5 | Term: 10 yrs | Type: Direct | Yr-1 rent: Low $50's NNN | Esc: 3% | Expansion",Direct,,,"Lease Comp, Airbnb, Direct, Q3 2026, Expansion"
Crusoe Energy Systems — 225 Bush St (Signed 2/18/26),"225 Bush St, San Francisco, CA",,,"Signed 2/18/26 | #12 largest YTD | 130,232 SF | Floors: 2,9,14-16 | Term: 3 yrs, 3 mos | Type: Direct | Yr-1 rent: $75 | Esc: 3% | Free rent: 3 mos | TI: $20/RSF | Expansion",Direct,,,"Lease Comp, Crusoe Energy Systems, Direct, Q1 2026, Expansion"
Atlassian — 350 Bush St (Signed 3/12/26),"350 Bush St, San Francisco, CA",,,"Signed 3/12/26 | #13 largest YTD | 127,123 SF | Floors: 11-16 | Term: 10 yrs, 5 mos | Type: Direct | Yr-1 rent: $92.00 (FSE) | Esc: 3% | Free rent: 5 mos | TI: $10/RSF | Renewal",Direct,,,"Lease Comp, Atlassian, Direct, Q1 2026, Renewal"
Ripple — 600 Battery St (Signed 3/12/26),"600 Battery St, San Francisco, CA",,,"Signed 3/12/26 | #14 largest YTD | 124,547 SF | Term: 11 yrs, 2 mos | Type: Direct | Yr-1 rent: $81.89 | Esc: 3% | Free rent: 5 mos | TI: $25/RSF | Renewal",Direct,,,"Lease Comp, Ripple, Direct, Q1 2026, Renewal"
Physical Intelligence — 850 Brannan St (Signed 8/15/26),"850 Brannan St, San Francisco, CA",,,"Signed 8/15/26 | #15 largest YTD | 120,000 SF | Term: 5 yrs | Type: Sublease | Yr-1 rent: Low $60's NNN | Esc: 3% | Expansion",Sublease,,,"Lease Comp, Physical Intelligence, Sublease, Q3 2026, Expansion"
Hinge Health — 300 Mission St (Signed 8/15/26),"300 Mission St, San Francisco, CA",,,"Signed 8/15/26 | #16 largest YTD | 118,184 SF | Floors: 7-10 | Term: 9 yrs, 9 mos | Type: Direct | Yr-1 rent: $74 | Esc: 3% | Free rent: 9 mos",Direct,,,"Lease Comp, Hinge Health, Direct, Q3 2026"
Charles Schwab — 425 Market St (Signed 1/28/26),"425 Market St, San Francisco, CA",,,"Signed 1/28/26 | #17 largest YTD | 115,014 SF | Floors: 31-34 | Term: 12 yrs | Type: Direct | Yr-1 rent: $85 | Esc: 3% | Free rent: 14 mos | TI: $240/RSF | Relocation",Direct,,,"Lease Comp, Charles Schwab, Direct, Q1 2026, Relocation"
